months_as_customer,age,policy_number,policy_bind_date,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_zip,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported,age_group,Contract Years,total_premiums_paid,net_value_of_customer,annual_net_value_of_customer,total_net_value_of_customer,policy_bind_year,incident_year,incident_month,incident_day,incident_day_of_week,claim_to_premium_ratio,premium_per_year,contract_value_of_customer,fraudulent_claim_amount
235,42,543610,2002-05-26,OH,100/300,500,1253.12,4000000,462283,FEMALE,Masters,exec-managerial,dancing,other-relative,38400,0,2015-01-06,Single Vehicle Collision,Front Collision,Total Loss,Police,NY,Northbend,1558 1st Ridge,22,1,YES,2,2,Unknown,87010.0,7910.0,15820.0,63280,Ford,F150,2002,N,35-45,19.583333333333332,24540.266666666666,-62469.73333333334,-62469.73333333334,-62469.73333333334,2002,2015,1,6,1,3.5456012431269426,63.98910638297872,24540.266666666663,0.0
447,61,214618,1999-05-29,OH,100/300,2000,1257.0,0,615561,FEMALE,High School,exec-managerial,skydiving,other-relative,0,-51000,2015-02-15,Multi-vehicle Collision,Front Collision,Major Damage,Fire,OH,Springfield,5971 5th Hwy,21,3,YES,1,2,YES,114920.0,17680.0,17680.0,79560,Audi,A3,2006,N,55-65,37.25,46823.25,-68096.75,-68096.75,-68096.75,1999,2015,2,15,6,2.454336253890962,33.74496644295302,46823.25,0.0
60,23,842643,1997-11-20,OH,500/1000,500,1215.36,3000000,432220,MALE,MD,protective-serv,reading,wife,0,0,2015-01-22,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,Northbend,6655 5th Drive,9,1,YES,1,0,NO,56520.0,4710.0,9420.0,42390,Saab,95,2000,N,<25,5.0,6076.799999999999,-50443.2,-50443.2,-50443.2,1997,2015,1,22,3,9.300947867298579,243.07199999999997,6076.799999999999,0.0
121,34,626808,2012-10-26,OH,100/300,1000,936.61,0,464652,FEMALE,MD,armed-forces,bungie-jumping,wife,52800,-32800,2015-01-08,Parked Car,Unknown,Minor Damage,None,SC,Springfield,6582 Elm Lane,5,1,NO,1,1,NO,7280.0,1120.0,1120.0,5040,Toyota,Highlander,2010,N,25-35,10.083333333333334,9444.150833333333,2164.150833333333,2164.150833333333,2164.150833333333,2012,2015,1,8,3,0.7708474937000247,92.88694214876033,9444.150833333333,0.0
180,38,644081,1998-12-28,OH,250/500,2000,1301.13,0,476685,FEMALE,College,machine-op-inspct,board-games,not-in-family,41300,-55500,2015-01-15,Single Vehicle Collision,Rear Collision,Total Loss,Police,SC,Springfield,6851 3rd Drive,12,1,NO,0,2,YES,46200.0,4200.0,8400.0,33600,Dodge,Neon,2003,Y,35-45,15.0,19516.95,-26683.05,-26683.05,-26683.05,1998,2015,1,15,3,2.3671731494931327,86.742,19516.95,46200.0
473,58,892874,1992-10-19,IN,100/300,2000,1131.4,0,458733,FEMALE,MD,transport-moving,movies,other-relative,55700,0,2015-01-29,Multi-vehicle Collision,Side Collision,Major Damage,Other,WV,Hillsdale,9573 Weaver Ave,12,4,YES,0,0,NO,63120.0,10520.0,10520.0,42080,Accura,MDX,1999,Y,55-65,39.416666666666664,44596.01666666667,-18523.98333333333,-18523.98333333333,-18523.98333333333,1992,2015,1,29,3,1.415373047144345,28.70359408033827,44596.01666666667,63120.0
70,26,558938,2005-06-08,OH,500/1000,1000,1199.44,5000000,619884,MALE,College,machine-op-inspct,hiking,own-child,63600,0,2015-02-22,Multi-vehicle Collision,Rear Collision,Major Damage,Other,NY,Riverwood,5074 3rd St,0,3,Unknown,1,2,YES,52110.0,5790.0,5790.0,40530,Nissan,Maxima,2012,N,25-35,5.833333333333333,6996.733333333334,-45113.26666666666,-45113.26666666666,-45113.26666666666,2005,2015,2,22,6,7.447761336242627,205.61828571428575,6996.733333333334,0.0
140,31,275265,2004-11-15,IN,500/1000,500,708.64,6000000,470610,MALE,High School,machine-op-inspct,reading,unmarried,53500,0,2015-01-06,Single Vehicle Collision,Side Collision,Total Loss,Police,WV,Northbend,4546 Tree St,9,1,NO,0,2,YES,77880.0,14160.0,7080.0,56640,Suburu,Legacy,2015,N,25-35,11.666666666666666,8267.466666666667,-69612.53333333333,-69612.53333333333,-69612.53333333333,2004,2015,1,6,1,9.420056123600942,60.74057142857143,8267.466666666665,0.0
160,37,921202,2014-12-28,OH,500/1000,500,1374.22,0,472135,FEMALE,MD,craft-repair,yachting,other-relative,45500,-37800,2015-01-19,Single Vehicle Collision,Side Collision,Total Loss,Other,NY,Northbrook,3842 Solo Ridge,19,1,YES,1,0,NO,72930.0,6630.0,13260.0,53040,Accura,TL,2015,N,35-45,13.333333333333334,18322.933333333334,-54607.066666666666,-54607.066666666666,-54607.066666666666,2014,2015,1,19,0,3.9802578917495013,103.06649999999999,18322.933333333334,0.0
196,39,143972,1992-08-02,IN,500/1000,2000,1475.73,0,477670,FEMALE,High School,handlers-cleaners,camping,own-child,57000,-27300,2015-02-22,Multi-vehicle Collision,Side Collision,Major Damage,Police,VA,Columbus,8101 3rd Ridge,8,3,Unknown,2,0,NO,60400.0,6040.0,6040.0,48320,Nissan,Pathfinder,2014,N,35-45,16.333333333333332,24103.59,-36296.41,-36296.41,-36296.41,1992,2015,2,22,6,2.5058507882020895,90.35081632653062,24103.59,0.0
460,62,183430,2002-06-25,IN,250/500,1000,1187.96,4000000,618845,MALE,JD,other-service,bungie-jumping,own-child,0,0,2015-01-01,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Columbus,5380 Pine St,20,3,NO,1,0,Unknown,47160.0,0.0,5240.0,41920,Suburu,Impreza,2011,N,55-65,38.333333333333336,45538.46666666667,-1621.5333333333328,-1621.5333333333328,-1621.5333333333328,2002,2015,1,1,3,1.0356079914855865,30.990260869565216,45538.466666666674,0.0
217,41,431876,2005-11-27,IL,500/1000,2000,875.15,0,442479,FEMALE,Associate,machine-op-inspct,skydiving,own-child,46700,0,2015-02-10,Multi-vehicle Collision,Side Collision,Total Loss,Police,SC,Arlington,8957 Weaver Drive,15,3,Unknown,1,2,Unknown,37840.0,0.0,4730.0,33110,Accura,RSX,1996,N,35-45,18.083333333333332,15825.629166666666,-22014.370833333334,-22014.370833333334,-22014.370833333334,2005,2015,2,10,1,2.3910581754121942,48.39539170506912,15825.629166666666,0.0
370,55,285496,1994-05-27,IL,100/300,2000,1257.0,0,443920,MALE,High School,prof-specialty,paintball,other-relative,72700,-68200,2015-01-11,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,SC,Hillsdale,2526 Embaracadero Ave,20,3,NO,0,0,YES,71520.0,17880.0,5960.0,47680,Suburu,Forrestor,2000,Y,55-65,30.833333333333332,38757.5,-32762.5,-32762.5,-32762.5,1994,2015,1,11,6,1.8453202605947236,40.76756756756757,38757.5,71520.0
413,55,115399,1991-02-08,IN,100/300,2000,1268.79,0,453148,MALE,MD,priv-house-serv,chess,own-child,0,-31000,2015-01-19,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,Northbend,5667 4th Drive,15,1,Unknown,2,2,Unknown,98160.0,8180.0,16360.0,73620,Dodge,RAM,2011,Y,55-65,34.416666666666664,43667.5225,-54492.4775,-54492.4775,-54492.4775,1991,2015,1,19,0,2.2478948742741243,36.86556900726392,43667.5225,98160.0
237,40,736882,1996-02-02,IN,100/300,1000,883.31,0,434733,MALE,College,craft-repair,kayaking,husband,0,-53500,2015-02-24,Single Vehicle Collision,Rear Collision,Minor Damage,Other,VA,Riverwood,2502 Apache Hwy,6,1,NO,1,3,NO,77880.0,7080.0,14160.0,56640,Ford,Escape,2005,N,35-45,19.75,17445.3725,-60434.6275,-60434.6275,-60434.6275,1996,2015,2,24,1,4.464221099320177,44.72455696202531,17445.372499999998,0.0
8,35,699044,2013-12-05,OH,100/300,2000,1266.92,0,613982,MALE,Masters,sales,polo,own-child,0,0,2015-01-09,Multi-vehicle Collision,Rear Collision,Major Damage,Other,OH,Arlington,3418 Texas Lane,16,3,NO,1,3,YES,71500.0,16500.0,11000.0,44000,Ford,Escape,2006,Y,35-45,0.6666666666666666,844.6133333333333,-70655.38666666667,-70655.38666666667,-70655.38666666667,2013,2015,1,9,4,84.6541218072175,1900.38,844.6133333333333,71500.0
257,43,863236,1990-09-20,IN,100/300,2000,1322.1,0,436984,MALE,High School,prof-specialty,golf,own-child,0,-29200,2015-01-28,Parked Car,Unknown,Minor Damage,Police,PA,Arlington,2533 Elm St,4,1,YES,1,3,YES,9020.0,1640.0,820.0,6560,Toyota,Camry,2005,N,35-45,21.416666666666668,28314.975,19294.975,19294.975,19294.975,1990,2015,1,28,2,0.3185593488957698,61.73229571984435,28314.975,0.0
202,34,608513,2002-07-18,IN,100/300,500,848.07,3000000,607730,MALE,JD,exec-managerial,chess,not-in-family,31000,-30200,2015-01-07,Vehicle Theft,Unknown,Minor Damage,None,VA,Northbrook,3790 Andromedia Hwy,5,1,YES,2,1,Unknown,5720.0,1040.0,520.0,4160,Suburu,Forrestor,2003,Y,25-35,16.833333333333332,14275.845,8555.845,8555.845,8555.845,2002,2015,1,7,2,0.4006768075725115,50.380396039603966,14275.845,5720.0
224,40,914088,1990-02-08,OH,100/300,2000,1291.7,0,609837,FEMALE,JD,sales,kayaking,not-in-family,0,-55600,2015-01-08,Single Vehicle Collision,Side Collision,Minor Damage,Other,SC,Northbend,3220 Rock Drive,21,1,NO,1,0,YES,69840.0,7760.0,15520.0,46560,Dodge,Neon,2009,N,35-45,18.666666666666668,24111.733333333334,-45728.26666666666,-45728.26666666666,-45728.26666666666,1990,2015,1,8,3,2.896515112974043,69.19821428571429,24111.733333333337,0.0
241,45,596785,2014-03-04,IL,500/1000,2000,1104.5,0,432211,FEMALE,PhD,machine-op-inspct,basketball,unmarried,0,0,2015-02-15,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,Northbrook,2100 Francis Drive,5,1,NO,2,2,NO,91650.0,14100.0,14100.0,63450,Accura,TL,2011,N,45-55,20.083333333333332,22182.041666666668,-69467.95833333333,-69467.95833333333,-69467.95833333333,2014,2015,2,15,6,4.1317206674318,54.99585062240664,22182.041666666664,0.0
64,25,908616,2000-02-18,IL,250/500,1000,954.16,0,473328,MALE,Masters,prof-specialty,video-games,husband,53200,0,2015-01-18,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,SC,Columbus,4687 5th Drive,22,4,NO,0,0,Unknown,75600.0,12600.0,12600.0,50400,Toyota,Corolla,2005,N,25-35,5.333333333333333,5088.8533333333335,-70511.14666666667,-70511.14666666667,-70511.14666666667,2000,2015,1,18,6,14.855998993879433,178.905,5088.853333333333,0.0
166,37,666333,2008-06-19,IL,100/300,2000,1337.28,8000000,610393,MALE,JD,craft-repair,reading,husband,27500,0,2015-02-28,Multi-vehicle Collision,Side Collision,Major Damage,Police,WV,Riverwood,9038 2nd Lane,10,3,NO,2,2,Unknown,67140.0,7460.0,7460.0,52220,Ford,F150,2006,Y,35-45,13.833333333333334,18499.04,-48640.96,-48640.96,-48640.96,2008,2015,2,28,5,3.629377524455323,96.67084337349397,18499.04,67140.0
155,35,336614,2003-08-01,IL,500/1000,1000,1088.34,0,614780,FEMALE,Associate,adm-clerical,yachting,other-relative,81100,0,2015-02-24,Multi-vehicle Collision,Front Collision,Total Loss,Police,NY,Arlington,6092 5th Ave,16,3,YES,2,3,NO,29790.0,3310.0,3310.0,23170,BMW,3 Series,2008,N,35-45,12.916666666666666,14057.724999999999,-15732.275000000001,-15732.275000000001,-15732.275000000001,2003,2015,2,24,1,2.119119558819084,84.25858064516129,14057.724999999999,0.0
114,30,584859,1992-04-04,IL,100/300,1000,1558.29,0,472248,MALE,High School,farming-fishing,video-games,wife,51400,-64000,2015-01-09,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NY,Hillsdale,8353 Britain Ridge,1,3,NO,1,2,Unknown,77110.0,14020.0,14020.0,49070,Suburu,Impreza,2015,N,25-35,9.5,14803.755,-62306.245,-62306.245,-62306.245,1992,2015,1,9,4,5.208813574663996,164.03052631578947,14803.755,0.0
149,37,990493,1991-01-13,IL,500/1000,500,1415.68,0,603381,MALE,PhD,prof-specialty,yachting,own-child,0,0,2015-02-12,Single Vehicle Collision,Side Collision,Total Loss,Fire,WV,Hillsdale,3540 Maple St,17,1,YES,0,1,YES,64800.0,10800.0,5400.0,48600,Audi,A3,1999,N,35-45,12.416666666666666,17578.02666666667,-47221.97333333333,-47221.97333333333,-47221.97333333333,1991,2015,2,12,3,3.686420622110028,114.0144966442953,17578.026666666665,0.0
147,33,129872,2010-08-08,OH,100/300,1000,1334.15,6000000,479224,MALE,High School,craft-repair,reading,not-in-family,53300,-49200,2015-01-24,Single Vehicle Collision,Front Collision,Major Damage,Other,WV,Springfield,3104 Sky Drive,15,1,YES,2,0,YES,53100.0,10620.0,5310.0,37170,Mercedes,C300,1995,Y,25-35,12.25,16343.337500000001,-36756.6625,-36756.6625,-36756.6625,2010,2015,1,24,5,3.2490303770573172,108.91020408163266,16343.337500000001,53100.0
62,28,200152,2003-03-09,IL,100/300,1000,988.45,0,430141,FEMALE,Masters,protective-serv,camping,unmarried,0,0,2015-01-09,Single Vehicle Collision,Rear Collision,Total Loss,Police,NY,Northbrook,4981 Weaver St,3,1,Unknown,1,1,YES,60200.0,6020.0,6020.0,48160,Suburu,Forrestor,2004,Y,25-35,5.166666666666667,5106.991666666667,-55093.00833333333,-55093.00833333333,-55093.00833333333,2003,2015,1,9,4,11.787761549118121,191.31290322580645,5106.991666666667,60200.0
289,49,933293,1993-02-03,IL,500/1000,2000,1222.48,0,620757,FEMALE,JD,priv-house-serv,golf,unmarried,0,0,2015-01-18,Parked Car,Unknown,Minor Damage,None,WV,Arlington,6676 Tree Lane,16,1,NO,1,1,YES,5330.0,1230.0,820.0,3280,Suburu,Legacy,2001,N,45-55,24.083333333333332,29441.393333333333,24111.393333333333,24111.393333333333,24111.393333333333,1993,2015,1,18,6,0.1810376275217047,50.7604152249135,29441.393333333333,0.0
431,54,485664,2002-11-25,IN,500/1000,2000,1155.55,0,615901,FEMALE,MD,craft-repair,bungie-jumping,unmarried,65700,0,2015-01-21,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NY,Hillsdale,3930 Embaracadero St,4,3,Unknown,2,0,Unknown,62300.0,12460.0,6230.0,43610,Jeep,Wrangler,2007,N,45-55,35.916666666666664,41503.504166666666,-20796.495833333334,-20796.495833333334,-20796.495833333334,2002,2015,1,21,2,1.5010780716206593,32.17308584686775,41503.504166666666,0.0
199,37,982871,1997-07-27,IN,250/500,500,1262.08,0,474615,MALE,JD,tech-support,video-games,wife,48500,0,2015-01-08,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,NC,Columbus,3422 Flute St,4,1,Unknown,0,3,NO,60170.0,10940.0,10940.0,38290,Nissan,Pathfinder,2011,Y,35-45,16.583333333333332,20929.493333333332,-39240.50666666667,-39240.50666666667,-39240.50666666667,1997,2015,1,8,3,2.87489042575963,76.10532663316583,20929.493333333332,60170.0
79,26,206213,1995-05-08,IL,100/300,500,1451.62,0,456446,MALE,Associate,tech-support,kayaking,not-in-family,0,-55700,2015-01-03,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,WV,Columbus,4862 Lincoln Hwy,19,1,NO,2,2,Unknown,40000.0,8000.0,4000.0,28000,BMW,M5,2010,N,25-35,6.583333333333333,9556.498333333333,-30443.501666666667,-30443.501666666667,-30443.501666666667,1995,2015,1,3,5,4.185633545341486,220.4992405063291,9556.498333333333,0.0
116,34,616337,2012-08-30,IN,250/500,500,1737.66,0,470577,MALE,Associate,transport-moving,chess,unmarried,0,-24100,2015-01-01,Single Vehicle Collision,Side Collision,Major Damage,Police,WV,Northbrook,5719 2nd Lane,1,1,Unknown,1,1,Unknown,97080.0,16180.0,16180.0,64720,BMW,X5,2001,Y,25-35,9.666666666666666,16797.38,-80282.62,-80282.62,-80282.62,2012,2015,1,1,3,5.779472751107613,179.75793103448277,16797.38,97080.0
37,39,448961,2006-04-30,IL,500/1000,500,1475.93,0,441648,FEMALE,College,prof-specialty,hiking,husband,0,-67400,2015-01-16,Multi-vehicle Collision,Side Collision,Minor Damage,Other,SC,Springfield,3221 Solo Ridge,17,3,YES,1,0,NO,51660.0,5740.0,5740.0,40180,Dodge,RAM,2010,N,35-45,3.0833333333333335,4550.784166666667,-47109.215833333335,-47109.215833333335,-47109.215833333335,2006,2015,1,16,4,11.351889720105014,478.68,4550.784166666667,0.0
106,30,790442,2003-04-13,OH,250/500,500,538.17,0,433782,FEMALE,PhD,transport-moving,reading,own-child,49700,-60200,2015-02-10,Single Vehicle Collision,Rear Collision,Total Loss,Other,NC,Arlington,6660 MLK Drive,23,1,NO,2,2,NO,51120.0,5680.0,5680.0,39760,Mercedes,E400,2005,N,25-35,8.833333333333334,4753.835,-46366.165,-46366.165,-46366.165,2003,2015,2,10,1,10.753423288776325,60.92490566037735,4753.835,0.0
269,44,108844,2007-12-05,IL,100/300,2000,1081.08,0,468104,MALE,JD,priv-house-serv,reading,unmarried,36400,-28700,2015-02-14,Single Vehicle Collision,Front Collision,Minor Damage,Other,SC,Springfield,1699 Oak Drive,14,1,YES,0,2,Unknown,56400.0,11280.0,11280.0,33840,Toyota,Highlander,2014,N,35-45,22.416666666666668,24234.209999999995,-32165.790000000005,-32165.790000000005,-32165.790000000005,2007,2015,2,14,5,2.327288572641733,48.22661710037174,24234.21,0.0
265,40,430029,2006-08-21,IL,250/500,1000,1454.43,0,459407,FEMALE,MD,protective-serv,yachting,husband,0,0,2015-02-21,Multi-vehicle Collision,Rear Collision,Total Loss,Other,NY,Arlington,4234 Cherokee Lane,17,3,NO,2,3,Unknown,55120.0,6890.0,0.0,48230,Accura,MDX,2002,N,35-45,22.083333333333332,32118.6625,-23001.3375,-23001.3375,-23001.3375,2006,2015,2,21,5,1.7161362183123285,65.86098113207548,32118.6625,0.0
163,33,529112,1990-01-08,IN,100/300,500,1240.47,0,472573,FEMALE,Associate,other-service,polo,husband,35300,0,2015-02-18,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,NC,Northbend,7476 4th St,11,3,YES,1,1,Unknown,77110.0,0.0,14020.0,63090,Honda,Civic,2014,N,25-35,13.583333333333334,16849.7175,-60260.2825,-60260.2825,-60260.2825,1990,2015,2,18,2,4.5763378525485665,91.32294478527608,16849.717500000002,0.0
355,47,939631,1990-03-18,OH,500/1000,2000,1273.7,4000000,433473,MALE,College,other-service,kayaking,husband,0,0,2015-01-10,Multi-vehicle Collision,Front Collision,Major Damage,Fire,WV,Arlington,8907 Tree Ave,19,3,NO,2,1,NO,62800.0,6280.0,6280.0,50240,Audi,A3,2003,Y,45-55,29.583333333333332,37680.291666666664,-25119.708333333336,-25119.708333333336,-25119.708333333336,1990,2015,1,10,5,1.6666537657285474,43.054647887323945,37680.291666666664,62800.0
175,34,866931,2008-01-07,IN,500/1000,1000,1123.87,8000000,446326,FEMALE,PhD,protective-serv,dancing,other-relative,0,0,2015-02-26,Vehicle Theft,Unknown,Trivial Damage,Police,NY,Arlington,6619 Flute Ave,5,1,Unknown,2,0,YES,7290.0,810.0,810.0,5670,Volkswagen,Passat,1995,N,25-35,14.583333333333334,16389.770833333332,9099.770833333332,9099.770833333332,9099.770833333332,2008,2015,2,26,3,0.444789623609238,77.06537142857142,16389.770833333332,0.0
192,35,582011,1997-03-10,IL,100/300,1000,1245.89,0,435481,FEMALE,Masters,exec-managerial,movies,wife,0,-40300,2015-01-01,Single Vehicle Collision,Rear Collision,Total Loss,Other,WV,Springfield,6011 Britain St,19,1,NO,0,0,Unknown,76600.0,15320.0,7660.0,53620,Mercedes,C300,2000,N,35-45,16.0,19934.24,-56665.759999999995,-56665.759999999995,-56665.759999999995,1997,2015,1,1,3,3.8426345825072836,77.868125,19934.24,0.0
430,59,691189,2004-01-10,OH,250/500,2000,1326.62,7000000,477310,MALE,MD,other-service,bungie-jumping,own-child,0,0,2015-01-03,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,Riverwood,5104 Francis Drive,19,3,Unknown,0,3,YES,81800.0,16360.0,8180.0,57260,Nissan,Pathfinder,1998,N,55-65,35.833333333333336,47537.21666666667,-34262.78333333333,-34262.78333333333,-34262.78333333333,2004,2015,1,3,5,1.7207570349266696,37.021953488372084,47537.21666666667,0.0
91,27,537546,1994-08-20,IL,100/300,2000,1073.83,0,609930,FEMALE,JD,farming-fishing,polo,husband,0,0,2015-01-17,Vehicle Theft,Unknown,Trivial Damage,None,NY,Arlington,2280 4th Ave,4,1,Unknown,1,2,Unknown,7260.0,1320.0,660.0,5280,BMW,M5,2008,N,25-35,7.583333333333333,8143.2108333333335,883.2108333333335,883.2108333333335,883.2108333333335,1994,2015,1,17,5,0.8915402227192734,141.60395604395603,8143.210833333333,0.0
217,39,394975,2002-06-02,IN,100/300,1000,1530.52,0,603993,MALE,College,armed-forces,basketball,not-in-family,0,0,2015-02-22,Vehicle Theft,Unknown,Minor Damage,None,WV,Northbend,2644 Elm Drive,8,1,Unknown,2,1,YES,4300.0,430.0,430.0,3440,Toyota,Corolla,2000,N,35-45,18.083333333333332,27676.903333333335,23376.903333333335,23376.903333333335,23376.903333333335,2002,2015,2,22,6,0.15536420199225082,84.63705069124424,27676.903333333332,0.0
223,40,729634,1994-04-28,IN,100/300,500,1201.41,0,437818,FEMALE,JD,priv-house-serv,movies,husband,88400,-46500,2015-01-27,Multi-vehicle Collision,Side Collision,Major Damage,Police,NC,Columbus,7466 MLK Ridge,7,3,YES,1,0,Unknown,70510.0,12820.0,12820.0,44870,Suburu,Forrestor,1999,N,35-45,18.583333333333332,22326.202500000003,-48183.7975,-48183.7975,-48183.7975,1994,2015,1,27,1,3.1581725553192483,64.64986547085202,22326.2025,0.0
